FID,id,avg_loss,qc_precip,avg_delive,avg_runoff,area_m2,area_ac,deliv_ST,delivert Metric Tons,huc12,huc8,
53,1.024E+11,67.18,376.99,63.42,61.66,136209210,33658,2134590,1936468,1.024E+11,10240003,
54,1.024E+11,66.58,392.8,64.63,67.85,98639821,24374,1575292,1429081,1.024E+11,10240003,
55,1.024E+11,78.5,386.2,71.17,69.51,115762388,28605,2035818,1846864,1.024E+11,10240003,
56,1.024E+11,128.91,391.61,123.49,77.64,48592651,12007,1482744,1345123,1.024E+11,10240003,
57,1.024E+11,78.48,381.22,73.14,64.41,67084442,16577,1212442,1099909,1.024E+11,10240003,
58,1.024E+11,79.61,387.01,77.14,67.97,45899951,11342,874922,793716,1.024E+11,10240003,
59,1.024E+11,92.56,383.54,88.2,66.78,92827487,22938,2023132,1835355,1.024E+11,10240003,
60,1.024E+11,54.15,385.31,52.21,65.78,130514882,32251,1683825,1527541,1.024E+11,10240003,
61,1.024E+11,80.53,381.38,79.13,68.05,65837542,16269,1287366,1167879,1.024E+11,10240003,
62,1.024E+11,71.56,385.72,67.52,64.85,76800850,18978,1281395,1162462,1.024E+11,10240003,
63,1.024E+11,70.36,381.96,65.5,60.22,68250062,16865,1104658,1002129,1.024E+11,10240003,
64,1.024E+11,67.22,378.65,63.05,64.21,110763864,27370,1725679,1565510,1.024E+11,10240003,
65,1.024E+11,57.18,378.22,47.13,59.11,100755099,24897,1173396,1064487,1.024E+11,10240003,
66,1.024E+11,79.53,377.07,73.43,62.72,46409567,11468,842095,763936,1.024E+11,10240003,
67,1.024E+11,76.89,383.08,71.77,58.94,103302190,25526,1832001,1661964,1.024E+11,10240003,
68,1.024E+11,55.85,391.9,52.68,61.16,131343475,32456,1709782,1551089,1.024E+11,10240003,
69,1.024E+11,74.39,392.45,70.5,71.57,45603564,11269,794465,720727,1.024E+11,10240003,
70,1.024E+11,38.6,388.46,36.14,64.85,123171813,30436,1099957,997864,1.024E+11,10240003,
71,1.024E+11,62.11,393.07,56.55,73.19,39760920,9825,555604,504036,1.024E+11,10240003,
72,1.024E+11,27.69,393.72,24.59,68.61,70806704,17497,430251,390317,1.024E+11,10240003,
73,1.024E+11,60.37,378.12,53.04,69.48,62647960,15481,821112,744900,1.024E+11,10240003,
74,1.024E+11,38.25,384.75,33.06,62.04,105596436,26093,862635,782570,1.024E+11,10240003,
75,1.024E+11,40.53,369.08,36.96,62.65,99210644,24515,906074,821977,1.024E+11,10240003,
76,1.024E+11,27.5,367.08,23.89,62.3,133963680,33103,790831,717430,1.024E+11,10240003,
