,type,order,Volume (m3),dVolume (m3),Sed export (Mg),dSed export (Mg),P export (Mg),dP export (Mg)
0,deposition,3,960003.4031309991,513924.48976366344,314814.87362113287,168697.39534394623,114.13625636073832,62.042316771593875
1,deposition,4,1614318.977069002,864203.2454261791,557023.2618032587,298302.80942272523,229.7767560568897,123.41569114115147
2,deposition,5,778886.8513140008,416966.2590149715,312679.7133184459,167435.56824643715,58.99134740147853,31.877335815861954
3,deposition,6,564645.9722299986,302275.37967989047,213436.65988701588,114325.39580517718,50.244990298542454,27.58816110466792
4,erosion,3,-1039574.0135018283,-344674.4303174737,-1243745.807937182,412828.21117435215,-578.5047987309223,193.99830881468384
5,erosion,4,-3392033.557948521,-1124640.6884155956,-3898115.9121485506,1293531.7543682924,-2301.196770398378,778.0831640556261
6,erosion,5,-2764103.149073849,-916448.1469063659,-3427585.537562982,1137128.6470639615,-1468.7244605574203,491.25250722173973
7,erosion,6,-8453848.573899055,-2802903.3078496815,-10881442.846262356,3613774.429559924,-4363.618692301227,1464.2534527919522
