,order,Volume (m3),dVolume (m3),Sed export (Mg),dSed export (Mg),P export (Mg),dP export (Mg)
0,3,-79570.61037082924,618804.3665759937,-928930.9343160491,445966.30269253213,-464.36854237018395,203.6776691081873
1,4,-1777714.5808795188,1418331.388443845,-3341092.650345292,1327482.1903395175,-2071.4200143414882,787.8101567044324
2,5,-1985216.2977598482,1006845.6024262371,-3114905.8242445365,1149389.5029482055,-1409.7331131559417,492.28567965193
3,6,-7889202.601669056,2819155.4335146737,-10668006.18637534,3615582.376860907,-4313.373702002685,1464.513325527047
