,order,Volume (m3),dVolume (m3),Sed export (Mg),dSed export (Mg),P export (Mg),dP export (Mg)
0,3,-79570.61037082924,775483.6412043311,-928930.9343160491,615197.690908697,-464.36854237018395,281.813058339621
1,4,-1777714.5808795188,1884487.7815714814,-3341092.650345292,1858464.4439238787,-2071.4200143414882,1097.3387866875994
2,5,-1985216.2977598482,1383289.5462037441,-3114905.8242445365,1616639.6693631632,-1409.7331131559417,691.4283504424719
3,6,-7889202.601669056,3972358.701494463,-10668006.18637534,5098592.66460926,-4313.373702002685,2054.870615848408
