order,type,Density (g/cm3) mean,Density (g/cm3) std,Density (g/cm3) sem,P (mg/kg) mean,P (mg/kg) std,P (mg/kg) sem
1,deposition,1.0457628926656248,0.2051074509093079,0.05920942099764344,504.70680797451473,197.21799033948332,56.93192990576886
1,erosion,1.298337736874492,0.18907522430104523,0.019820469063458128,252.6668260522822,134.707594425937,14.121192862799576
2,deposition,1.1771236763175967,0.08332648191793042,0.020209640374043953,521.2131759348586,160.66235503850382,38.96634469907276
2,erosion,1.2995260971814893,0.24073985061233186,0.026748872290259094,331.31881686634523,207.850635225794,22.814571163946344
3,deposition,1.311723990120788,0.13211394687224798,0.03113955590756194,362.5503936580098,140.40516725885072,33.09381529412159
3,erosion,1.196399478809206,0.17174960716554305,0.018739418462262642,465.1310541423275,203.67796839316293,22.223088275154577
4,deposition,1.3802061915039945,0.09749393093041955,0.019900865316472862,412.5083669091851,83.22181875924304,16.98758261887721
4,erosion,1.149197331203912,0.16843695809336656,0.015706827330743654,590.3356447730697,410.8255135675388,38.30967667495262
5,deposition,1.6057773361609444,0.08627287270788053,0.02033471110806205,188.66381440422808,58.0407259636679,13.68033030463323
5,erosion,1.240035321659918,0.14582294938180582,0.014438623504000698,428.5011838396557,184.14723552371058,18.233293279974898
6,deposition,1.512003417249745,0.11589064133312452,0.02731568612090345,235.4093730905458,120.55580285442991,28.415275236585313
6,erosion,1.287158475946495,0.2268909258237531,0.02460977620692276,401.0147141286579,180.68029019998716,19.26058365098842
