,Case No,Scientist,Matrix,Project Name,Submission Date,Comments,Sample Number,Site ID,Depth,Collect Date,P 213,round,replicate,ars_code,core_code
620,19x0619,John Kovar,P,,11-18-2019,,19x0619-180,258a,,2019-11-18,1.62,3,a,258,
621,19x0619,John Kovar,P,,11-18-2019,,19x0619-181,258b,,2019-11-18,1.66,3,b,258,
622,19x0619,John Kovar,P,,11-18-2019,,19x0619-182,259a,,2019-11-18,2.0,3,a,259,
623,19x0619,John Kovar,P,,11-18-2019,,19x0619-183,259b,,2019-11-18,1.8,3,b,259,
624,19x0619,John Kovar,P,,11-18-2019,,19x0619-184,260a,,2019-11-18,1.77,3,a,260,
625,19x0619,John Kovar,P,,11-18-2019,,19x0619-185,260b,,2019-11-18,2.01,3,b,260,
626,19x0619,John Kovar,P,,11-18-2019,,19x0619-186,261a,,2019-11-18,4.84,3,a,261,
627,19x0619,John Kovar,P,,11-18-2019,,19x0619-187,261b,,2019-11-18,4.38,3,b,261,
628,19x0619,John Kovar,P,,11-18-2019,,19x0619-188,262a,,2019-11-18,3.84,3,a,262,
629,19x0619,John Kovar,P,,11-18-2019,,19x0619-189,262b,,2019-11-18,4.51,3,b,262,
630,19x0619,John Kovar,P,,11-18-2019,,19x0619-190,263a,,2019-11-18,4.5,3,a,263,
631,19x0619,John Kovar,P,,11-18-2019,,19x0619-191,263b,,2019-11-18,4.14,3,b,263,
632,19x0619,John Kovar,P,,11-18-2019,,19x0619-192,264a,,2019-11-18,5.71,3,a,264,
633,19x0619,John Kovar,P,,11-18-2019,,19x0619-193,264b,,2019-11-18,5.12,3,b,264,
634,19x0619,John Kovar,P,,11-18-2019,,19x0619-194,265a,,2019-11-18,5.5,3,a,265,
635,19x0619,John Kovar,P,,11-18-2019,,19x0619-195,265b,,2019-11-18,4.01,3,b,265,
636,19x0619,John Kovar,P,,11-18-2019,,19x0619-196,266a,,2019-11-18,4.79,3,a,266,
637,19x0619,John Kovar,P,,11-18-2019,,19x0619-197,266b,,2019-11-18,5.7,3,b,266,
638,19x0619,John Kovar,P,,11-18-2019,,19x0619-198,267a,,2019-11-18,5.29,3,a,267,
639,19x0619,John Kovar,P,,11-18-2019,,19x0619-199,267b,,2019-11-18,4.37,3,b,267,
640,19x0619,John Kovar,P,,11-18-2019,,19x0619-200,268a,,2019-11-18,7.28,3,a,268,
641,19x0619,John Kovar,P,,11-18-2019,,19x0619-201,268b,,2019-11-18,6.8,3,b,268,
642,19x0619,John Kovar,P,,11-18-2019,,19x0619-202,269a,,2019-11-18,7.19,3,a,269,
643,19x0619,John Kovar,P,,11-18-2019,,19x0619-203,269b,,2019-11-18,6.95,3,b,269,
644,19x0619,John Kovar,P,,11-18-2019,,19x0619-204,270a,,2019-11-18,2.4,3,a,270,
645,19x0619,John Kovar,P,,11-18-2019,,19x0619-205,270b,,2019-11-18,3.8,3,b,270,
646,19x0619,John Kovar,P,,11-18-2019,,19x0619-206,271a,,2019-11-18,3.45,3,a,271,
647,19x0619,John Kovar,P,,11-18-2019,,19x0619-207,271b,,2019-11-18,3.65,3,b,271,
648,19x0619,John Kovar,P,,11-18-2019,,19x0619-208,272a,,2019-11-18,4.66,3,a,272,
649,19x0619,John Kovar,P,,11-18-2019,,19x0619-209,272b,,2019-11-18,4.7,3,b,272,
650,19x0619,John Kovar,P,,11-18-2019,,19x0619-210,273a,,2019-11-18,2.1,3,a,273,
651,19x0619,John Kovar,P,,11-18-2019,,19x0619-211,273b,,2019-11-18,2.21,3,b,273,
652,19x0619,John Kovar,P,,11-18-2019,,19x0619-212,274a,,2019-11-18,2.04,3,a,274,
653,19x0619,John Kovar,P,,11-18-2019,,19x0619-213,274b,,2019-11-18,1.0,3,b,274,
654,19x0619,John Kovar,P,,11-18-2019,,19x0619-214,275a,,2019-11-18,1.85,3,a,275,
655,19x0619,John Kovar,P,,11-18-2019,,19x0619-215,275b,,2019-11-18,2.71,3,b,275,
656,19x0619,John Kovar,P,,11-18-2019,,19x0619-216,276a,,2019-11-18,3.73,3,a,276,
657,19x0619,John Kovar,P,,11-18-2019,,19x0619-217,276b,,2019-11-18,4.04,3,b,276,
658,19x0619,John Kovar,P,,11-18-2019,,19x0619-218,277a,,2019-11-18,3.79,3,a,277,
659,19x0619,John Kovar,P,,11-18-2019,,19x0619-219,277b,,2019-11-18,4.08,3,b,277,
660,19x0619,John Kovar,P,,11-18-2019,,19x0619-220,278a,,2019-11-18,3.61,3,a,278,
661,19x0619,John Kovar,P,,11-18-2019,,19x0619-221,278b,,2019-11-18,3.61,3,b,278,
662,19x0619,John Kovar,P,,11-18-2019,,19x0619-222,279a,,2019-11-18,6.25,3,a,279,
663,19x0619,John Kovar,P,,11-18-2019,,19x0619-223,279b,,2019-11-18,7.2,3,b,279,
664,19x0619,John Kovar,P,,11-18-2019,,19x0619-224,280a,,2019-11-18,4.2,3,a,280,
665,19x0619,John Kovar,P,,11-18-2019,,19x0619-225,280b,,2019-11-18,4.23,3,b,280,
666,19x0619,John Kovar,P,,11-18-2019,,19x0619-226,281a,,2019-11-18,6.09,3,a,281,
667,19x0619,John Kovar,P,,11-18-2019,,19x0619-227,281b,,2019-11-18,5.39,3,b,281,
