,0
Volume (m3),-11731704.090679253
dVolume (m3),4673948.298670308
Sed export (Mg),-18052935.595281217
dSed export (Mg),5695746.594468075
P export (Mg),-8258.895371870298
dP export (Mg),2446.249665159416
