order,type,Density (g/cm3) mean,Density (g/cm3) std,Density (g/cm3) sem,P (mg/kg) mean,P (mg/kg) std,P (mg/kg) sem,P Density (kg/m3) mean,P Density (kg/m3) std,P Density (kg/m3) sem
1,deposition,0.2614407231664065,0.051276862727327226,0.014802355249410933,504.70680797451473,197.21799033948332,56.93192990576886,0.12454733600958902,0.02946839426711341,0.008506792681351976
1,erosion,1.298337736874492,0.18907522430104523,0.019820469063458128,252.6668260522822,134.707594425937,14.121192862799576,0.32514768961714197,0.19072812654951463,0.01999374029982353
2,deposition,0.29428091907939946,0.020831620479482605,0.005052410093510988,521.2131759348586,160.66235503850382,38.96634469907276,0.15319395578532502,0.0483199068703328,0.011719298814493566
2,erosion,1.2995260971814893,0.24073985061233186,0.026748872290259094,331.31881686634523,207.850635225794,22.814571163946344,0.45268688052805633,0.33129198655559183,0.036810220728399096
3,deposition,0.3279309975301975,0.03302848671806203,0.007784888976890493,362.5503936580098,140.40516725885072,33.09381529412159,0.11489781950661834,0.037684015595974354,0.008882207656751028
3,erosion,1.196399478809206,0.17174960716554305,0.018739418462262642,465.1310541423275,203.67796839316293,22.223088275154577,0.5483172065943404,0.24816743854438983,0.027077287432213524
4,deposition,0.34505154787599907,0.02437348273260491,0.00497521632911822,412.5083669091851,83.22181875924304,16.98758261887721,0.14173471288733672,0.02690010370110659,0.0054909606746387
4,erosion,1.149197331203912,0.16843695809336656,0.015706827330743654,590.3356447730697,410.8255135675388,38.30967667495262,0.6723494327351472,0.4662252264644341,0.0434757265401014
5,deposition,0.40144433404023666,0.021568218176970126,0.005083677777015511,188.66381440422808,58.0407259636679,13.68033030463323,0.07582633563104914,0.023994347287134708,0.005655521892292664
5,erosion,1.240035321659918,0.14582294938180582,0.014438623504000698,428.5011838396557,184.14723552371058,18.233293279974898,0.5325324152711809,0.2432687202860281,0.02408719256742906
6,deposition,0.3780008543124368,0.028972660333281202,0.00682892153022588,235.4093730905458,120.55580285442991,28.415275236585313,0.0866706239910417,0.03806518717309424,0.008972050659076709
6,erosion,1.287158475946495,0.2268909258237531,0.02460977620692276,401.0147141286579,180.68029019998716,19.26058365098842,0.5079175787318414,0.22708657806662086,0.024630997672232036
