,type,Volume (m3),dVolume (m3),Sed export (Mg),dSed export (Mg),P export (Mg),dP export (Mg)
0,deposition,3917855.2037440008,1327418.1158200982,1397954.5086298534,467813.50696474954,453.149350117649,169.39479648117967
1,erosion,-15649559.294423252,4481490.136599175,-19450890.103911072,5676502.425886561,-8712.044721987948,2440.377599310741
