,type,order,Volume (m3),dVolume (m3),Sed export (Mg),dSed export (Mg),P export (Mg),dP export (Mg)
0,deposition,3,960003.4031309991,603876.6144499441,314814.87362113287,198170.83330791892,114.13625636073832,72.59836487880106
1,deposition,4,1614318.977069002,1015464.6070371283,557023.2618032587,350479.67240105,229.7767560568897,144.8851257612363
2,deposition,5,778886.8513140008,489947.79943180375,312679.7133184459,196726.6205637721,58.99134740147853,37.36087802829254
3,deposition,6,564645.9722299986,355182.5930626624,213436.65988701588,134314.68318807543,50.244990298542454,32.1953353442782
4,erosion,3,-1039574.0135018283,-486526.3736900614,-1243745.807937182,582405.8033067989,-578.5047987309223,272.301445584953
5,erosion,4,-3392033.557948521,-1587490.419104044,-3898115.9121485506,1825117.5547243373,-2301.196770398378,1087.7319123304985
6,erosion,5,-2764103.149073849,-1293615.5234336413,-3427585.537562982,1604625.332381424,-1468.7244605574203,690.4182273003464
7,erosion,6,-8453848.573899055,-3956447.7728037885,-10881442.846262356,5096823.199355402,-4363.618692301227,2054.618385067963
