,gridcode,area,perim,hdiff,vol_chg,StrmOrder
107,2,129.863,140.3,-2.74292,-356.204,4
108,2,33.8611,63.44,-0.489172,-16.5639,4
109,2,50.6056,92.72,-1.65723,-83.8649,4
110,2,42.7915,65.88,-1.90844,-81.6649,4
111,2,13.3956,28.06,-0.32,-4.28659,3
112,2,24.9307,29.28,-0.405737,-10.1153,3
113,2,40.5589,46.36,-2.03342,-82.4731,3
114,1,1573.98,1515.24,0.8,1259.18,3
115,1,46.5125,57.34,0.38,17.6747,3
116,1,35.3495,47.58,1.16,41.0054,3
117,2,15.6282,20.74,-0.327143,-5.11265,0
118,1,254.144,250.1,0.26,66.0774,3
119,1,66.2338,98.82,0.43,28.4805,3
120,2,35.7216,45.14,-1.52,-54.2968,3
121,2,9.3025,23.18,-0.392372,-3.65004,3
122,1,34.9774,54.9,1.66,58.0625,3
123,1,24.5586,35.38,2.15,52.801,3
124,1,16.7445,26.84,0.1,1.67445,0
125,2,33.8611,46.36,-0.16,-5.41778,3
126,1,21.5818,42.7,1.93,41.6529,3
127,2,21.5818,28.06,-3.8,-82.0108,3
128,1,83.3504,91.5,0.8,66.6803,3
129,2,43.5357,78.08,-0.756307,-32.9263,3
130,1,511.638,448.96,0.31,158.608,3
131,1,102.327,100.04,0.12,12.2792,3
132,1,83.7225,109.8,0.08,6.6978,3
133,2,11.9072,28.06,-0.3,-3.57216,3
134,2,38.6984,59.78,-1.74657,-67.5893,3
135,1,207.26,211.06,0.29,60.1054,3
136,2,21.5818,43.92,-1.08,-23.3083,3
137,1,75.9084,102.48,0.28,21.2544,3
138,2,26.7912,45.14,-1.90839,-51.1281,3
139,1,72.9316,70.76,0.11,8.02248,3
140,1,530.615,444.08,1.16,615.513,3
141,1,33.1169,62.22,0.04,1.32468,3
142,1,103.444,107.36,0.5,51.722,3
143,2,14.884,35.38,-0.92,-13.6933,3
144,1,81.1178,97.6,0.17,13.79,3
145,1,486.707,475.8,0.39,189.816,3
146,2,4.8373,17.08,-0.64,-3.09587,3
147,1,36.8379,50.02,0.1,3.68379,3
148,1,333.774,326.96,0.45,150.198,3
149,2,12.6514,31.72,-0.52,-6.57873,3
150,1,322.239,281.82,0.45,145.008,3
151,1,145.863,148.84,0.81,118.149,3
152,1,40.5589,64.66,0.19,7.70619,3
153,1,277.215,326.96,0.71,196.823,3
154,1,64.7454,71.98,0.18,11.6542,3
155,1,122.421,154.94,1.33,162.82,3
156,1,87.4435,95.16,0.37,32.3541,3
157,1,183.445,267.18,0.36,66.0402,3
158,1,106.793,120.78,0.6,64.0758,3
159,1,72.5595,87.84,0.84,60.95,3
160,2,20.4655,35.38,-0.829672,-16.9797,3
161,1,46.8846,61.0,0.4,18.7538,3
162,2,20.4655,35.38,-0.51329,-10.5047,3
163,2,14.1398,34.16,-0.16,-2.26237,3
164,1,50.6056,69.54,0.68,34.4118,3
165,1,100.839,132.98,0.41,41.344,3
166,1,49.4893,78.08,0.42,20.7855,3
167,1,63.257,80.52,0.34,21.5074,3
168,1,64.7454,101.26,0.24,15.5389,3
169,1,18.9771,36.6,0.53,10.0579,3
170,1,101.955,108.58,0.49,49.958,3
171,2,12.2793,15.86,-0.78,-9.57785,0
172,1,77.0247,98.82,0.63,48.5256,3
173,1,155.166,117.12,1.19,184.648,3
174,1,276.842,228.14,0.47,130.116,3
175,1,269.4,263.52,1.16,312.504,3
176,1,66.6059,82.96,0.67,44.626,3
177,1,429.776,491.66,0.81,348.119,3
178,1,60.6523,76.86,0.35,21.2283,3
179,1,36.4658,53.68,1.24,45.2176,3
180,1,34.6053,69.54,0.07,2.42237,3
181,1,257.121,197.64,0.85,218.553,3
182,1,251.54,328.18,0.96,241.478,3
183,1,67.7222,82.96,0.32,21.6711,3
184,1,32.0006,56.12,0.07,2.24004,3
185,1,94.5134,135.42,1.2,113.416,3
186,1,55.4429,100.04,0.18,9.97972,3
187,1,84.0946,115.9,0.9,75.6851,3
188,1,205.771,274.5,0.35,72.0199,3
189,1,261.586,303.78,1.02,266.818,3
190,1,70.3269,129.32,1.22,85.7988,3
191,1,458.427,353.8,0.84,385.079,3
192,1,906.808,976.0,1.23,1115.37,3
193,1,130.235,134.2,0.45,58.6058,3
194,1,56.5592,82.96,0.67,37.8947,3
195,1,46.5125,76.86,0.41,19.0701,3
196,1,101.955,84.18,0.46,46.8993,3
197,1,102.7,150.06,0.3,30.81,3
198,1,18.9771,29.28,0.19,3.60565,3
199,1,78.5131,113.46,0.51,40.0417,3
200,1,49.8614,71.98,0.17,8.47644,3
201,1,53.9545,92.72,0.18,9.71181,3
202,1,23.4423,57.34,0.16,3.75077,3
203,1,37.9542,70.76,0.17,6.45221,3
204,1,18.2329,31.72,0.59,10.7574,3
205,1,33.489,37.82,0.65,21.7678,3
206,1,30.5122,58.56,0.06,1.83073,3
207,1,18.9771,25.62,0.14,2.65679,3
208,1,33.489,70.76,0.16,5.35824,3
209,1,21.2097,48.8,0.19,4.02984,3
210,1,173.027,229.36,0.21,36.3357,3
211,1,103.816,134.2,0.05,5.1908,3
212,1,41.3031,51.24,0.21,8.67365,3
213,1,122.049,218.38,0.28,34.1737,3
214,1,84.8388,119.56,0.24,20.3613,3
215,1,52.094,45.14,0.42,21.8795,3
216,1,583.453,796.66,1.17,682.64,3
217,1,26.047,50.02,0.35,9.11645,3
218,1,26.047,53.68,0.12,3.12564,3
219,2,20.4655,26.84,-0.04,-0.81862,3
220,1,52.8382,61.0,0.66,34.8732,3
221,1,184.934,201.3,1.11,205.277,3
222,1,80.7457,103.7,0.7,56.522,3
223,1,34.6053,47.58,3.88,134.269,3
224,1,109.77,128.1,0.39,42.8103,3
225,1,143.258,129.32,0.57,81.6571,3
226,1,241.865,287.92,1.15,278.145,3
227,1,119.072,152.5,0.45,53.5824,3
228,1,41.6752,63.44,0.38,15.8366,3
229,1,34.6053,47.58,0.24,8.30527,3
230,2,10.0467,21.96,-0.02,-0.200934,3
231,1,42.4194,56.12,0.2,8.48388,3
232,2,31.6285,62.22,-3.13516,-99.1603,3
233,1,433.869,398.94,1.73,750.593,3
234,1,1456.03,1230.98,1.14,1659.87,3
235,1,127.63,196.42,0.65,82.9595,3
236,1,56.5592,104.92,0.22,12.443,3
237,1,76.2805,123.22,0.24,18.3073,3
238,1,26.4191,53.68,0.3,7.92573,3
239,1,56.9313,93.94,0.17,9.67832,3
240,1,45.0241,87.84,0.13,5.85313,3
241,2,10.4188,20.74,-0.04,-0.416752,3
242,1,45.3962,103.7,0.14,6.35547,3
243,1,21.9539,61.0,0.33,7.24479,3
244,1,34.2332,54.9,0.24,8.21597,3
245,2,9.6746,17.08,-0.36,-3.48286,3
246,1,87.0714,136.64,1.5,130.607,3
247,1,1172.86,968.68,1.19,1395.7,3
248,1,38.6984,76.86,0.11,4.25682,3
249,1,30.1401,40.26,0.46,13.8644,3
250,1,39.0705,36.6,0.17,6.64198,3
251,1,726.711,633.18,0.87,632.239,3
252,1,1326.16,871.08,1.63,2161.64,3
253,1,130.235,174.46,0.89,115.909,4
254,1,735.642,569.74,1.54,1132.89,4
255,1,66.6059,80.52,0.74,49.2884,4
256,1,1722.82,1200.48,2.68,4617.16,0
257,1,84.8388,101.26,0.28,23.7549,4
258,1,38.3263,54.9,0.92,35.2602,4
259,1,29.768,42.7,0.08,2.38144,4
260,2,30.5122,43.92,-2.37462,-72.4548,4
261,1,101.211,96.38,0.05,5.06055,4
262,1,740.479,544.12,1.59,1177.36,4
263,2,86.6993,111.02,-3.49459,-302.979,4
264,1,30.8843,71.98,0.35,10.8095,4
265,1,43.5357,64.66,0.61,26.5568,4
266,1,1107.74,817.4,0.62,686.799,4
267,1,93.7692,109.8,0.36,33.7569,4
268,1,18.9771,30.5,0.06,1.13863,4
269,1,18.2329,32.94,0.3,5.46987,4
270,1,62.5128,96.38,0.08,5.00102,4
271,1,34.2332,56.12,0.66,22.5939,4
272,1,165.585,183.0,0.18,29.8053,4
273,1,36.0937,65.88,0.2,7.21874,4
274,1,47.2567,95.16,0.87,41.1133,4
275,1,69.5827,86.62,0.24,16.6998,4
276,1,27.5354,34.16,0.06,1.65212,4
277,1,72.9316,97.6,0.22,16.045,4
278,1,93.3971,98.82,0.08,7.47177,0
279,1,235.539,212.28,1.48,348.598,4
280,1,40.5589,46.36,1.53,62.0551,4
281,1,94.5134,156.16,0.1,9.45134,4
282,2,4.8373,10.98,-0.08,-0.386984,3
283,1,650.431,618.54,0.45,292.694,3
284,1,260.842,298.9,1.0,260.842,4
285,2,9.3025,21.96,-1.78,-16.5584,4
286,2,21.2097,37.82,-2.67934,-56.8281,4
287,1,401.124,372.1,0.23,92.2585,4
288,1,61.0244,87.84,0.48,29.2917,4
289,1,101.583,136.64,0.22,22.3483,4
290,1,121.677,158.6,1.07,130.194,4
291,1,1098.44,1041.88,0.63,692.017,3
292,1,54.3266,69.54,0.17,9.23552,3
293,1,53.5824,79.3,0.3,16.0747,4
294,2,16.7445,26.84,-1.26505,-21.1827,3
295,1,190.515,214.72,0.15,28.5772,4
296,1,29.768,41.48,0.05,1.4884,3
297,2,21.5818,47.58,-1.16,-25.0349,3
298,2,4.4652,10.98,-0.02,-0.089304,3
299,1,27.5354,42.7,0.31,8.53597,4
300,1,114.979,142.74,0.4,45.9916,3
301,1,162.236,212.28,0.86,139.523,4
302,1,96.746,108.58,0.49,47.4055,3
303,2,14.1398,32.94,-0.990084,-13.9996,3
304,1,153.305,175.68,0.17,26.0618,4
305,1,46.1404,87.84,0.24,11.0737,4
306,1,48.7451,89.06,0.02,0.974902,3
307,2,36.8379,74.42,-1.00702,-37.0965,3
308,1,79.2573,111.02,0.02,1.58515,4
309,1,66.6059,65.88,0.66,43.9599,4
310,1,53.9545,56.12,0.19,10.2514,3
311,2,18.9771,39.04,-0.45058,-8.5507,3
312,1,45.3962,74.42,0.1,4.53962,4
313,2,21.2097,37.82,-0.402989,-8.54727,3
314,1,96.3739,143.96,0.18,17.3473,3
315,1,326.704,305.0,2.08,679.544,4
316,1,33.1169,57.34,1.06,35.1039,4
317,1,73.3037,109.8,0.16,11.7286,3
318,1,164.468,153.72,0.12,19.7362,4
319,1,20.8376,36.6,0.23,4.79265,4
320,2,8.9304,17.08,-0.2,-1.78608,4
321,1,60.2802,100.04,0.22,13.2616,3
322,1,148.468,163.48,1.11,164.799,4
323,2,39.8147,56.12,-2.41759,-96.2556,3
324,1,53.2103,63.44,0.54,28.7336,4
325,1,55.4429,61.0,0.55,30.4936,4
326,1,20.4655,37.82,1.18,24.1493,4
327,1,87.4435,168.36,0.14,12.2421,3
328,1,40.5589,48.8,0.16,6.48942,4
329,1,20.8376,47.58,0.17,3.54239,3
330,2,70.699,143.96,-1.448,-102.372,3
331,1,350.146,322.08,0.84,294.123,4
332,2,71.0711,135.42,-0.851716,-60.5324,3
333,1,27.1633,36.6,0.04,1.08653,3
334,1,249.679,334.28,0.22,54.9294,4
335,1,109.025,134.2,3.25,354.331,4
336,2,46.8846,58.56,-1.83268,-85.9245,3
337,1,17.8608,29.28,0.03,0.535824,4
338,2,16.7445,30.5,-1.72,-28.8005,3
339,1,54.6987,84.18,0.36,19.6915,3
340,1,56.5592,84.18,0.24,13.5742,4
341,2,7.0699,14.64,-2.68,-18.9473,3
342,1,18.9771,30.5,0.04,0.759084,4
343,2,16.0003,28.06,-1.56,-24.9605,3
344,1,57.3034,71.98,0.23,13.1798,4
345,1,389.217,364.78,1.12,435.923,4
346,1,75.1642,141.52,0.2,15.0328,3
347,1,64.0012,92.72,0.05,3.20006,3
348,1,2114.64,1432.28,3.49,7380.09,4
349,1,45.0241,85.4,0.28,12.6067,4
350,1,70.699,111.02,0.36,25.4516,3
351,2,17.4887,42.7,-0.12,-2.09864,3
352,1,36.8379,67.1,0.06,2.21027,3
353,1,104.56,157.38,0.23,24.0488,4
354,1,156.654,262.3,0.46,72.0608,3
355,1,72.5595,124.44,0.19,13.7863,4
356,1,25.3028,48.8,0.25,6.3257,4
357,1,60.2802,81.74,1.31,78.9671,3
358,1,32.7448,45.14,0.09,2.94703,4
359,2,10.0467,24.4,-0.06,-0.602802,3
360,1,105.676,89.06,0.14,14.7946,4
